Old,New
'''566''',PERIANAL ABSCESS#566
'''568.0''',POSTOPERATIVE POSTINFECTIVE PERITONEAL ADHERENCES#568.0
'''569.0''',RECTAL POLYP#569.0
'''569.1''',RECTAL PROLAPSE#569.1
'''569.49''',Ulcerative PROCTITIS#569.49
'''569.83''',INTESTINE PERFORATION#569.83
'''571.4''',CHRONIC HEPATITIS FROM HEPATITIS C#571.4
'''571.5''',LIVER CIRRHOSIS#571.5
'''572.0''',LIVER ABSCESS#572.0
'''574.0''',CHOLELITHIASIS WITH ACUTE CHOLECYSTITIS#574.0
'''574.1''',CHOLECYSTITIS WITH CHOLELITHIASIS cholecystectomy procedure#574.1
'''574.2''',GALLBLADSTONE STONES#574.2
'''574.20''',GALLBLADSTONE STONES#574.20
'''574.5''',CHOLEDOCULAR LITHIASIS#574.5
'''575.0''',GALLBLADDER EMPYEMA#575.0
'''575.3''',GALLBLADDER HYDROPS#575.3
'''576.1''',CHOLANGITIS#576.1
'''577.0''',ACUTE PANCREATITIS#577.0
'''577.1''',CHRONIC PANCREATITIS#577.1
'''577.2''',PANCREAS CYSTS AND PSEUDOCYSTS#577.2
'''578.1''',MELENA#578.1
'''579.0''',CELIAC DISEASE#579.0
'''581.1''',NEPHROTIC SYNDROME IN MEMBRANOUS GLOMERULONEPHRITIS#581.1
'''581.9''',NEPHROTIC SYNDROME#581.9
'''584.5''',ACUTE TUBULAR NECROSIS#584.5
'''585''',CHRONIC KIDNEY INSUFFICIENCY#585
'''587''',RENE GRINZO on the right due to the outcome of pyelonephritic episodes due to reflux#587
'''589.0''',SMALL UNILATERAL KIDNEY with slight insufficiency. renal#589.0
'''591''',HYDRONEPHROSIS left#591
'''592.0''',NEPHROLITHIASIS#592.0
'''592.1''',URETERAL STONE#592.1
'''593.0''',RENAL PTOSIS#593.0
'''593.2''',KIDNEY CYSTS#593.2
'''593.3''',STENOSIS OF THE LEFT PIELOURETERAL JOINT#593.3
'''594.1''',BLADDER STONE#594.1
'''595.9''',CYSTITIS#595.9
'''596.51''',BLADDER HYPERACTIVITY#596.51
'''598.9''',URETHRAL STENOSIS urethral meatus#598.9
'''599.0''',URINARY TRACT INFECTION#599.0
'''599.7''',MACROHEMATURIA#599.7
'''600''',BENIGN PROSTATIC HYPERTROPHY transvesical adenomyomectomy#600
'''600.0''',PROSTATIC HYPERTROPHY#600.0
'''601.0''',ACUTE PROSTATITIS#601.0
'''601.1''',CHRONIC PROSTATITIS#601.1
'''601.9''',PROSTATITIS#601.9
'''603.9''',Bilateral HYDROCELE#603.9
'''605''',TIGHT PHIMOSIS#605
'''606.0''',AZOOSPERMIA#606.0
'''607.81''',INDURATIO PENIS PLASTICA#607.81
'''608.2''',TESTICLE TORSION#608.2
'''608.8''',EPIDDYMIS CYST on the right (Removal procedure 20.3.2000)#608.8
'''610.0''',SOLITARY CYST OF THE LEFT BREAST#610.0
'''610.1''',FIBROCYSTIC MASTOPATHY#610.1
'''610.2''',FIBROADENOSIS OF THE BREAST#610.2
'''616.3''',BARTHOLIN GLAND ABSCESS#616.3
'''617.1''',ENDOMETRIOSIS OVARY#617.1
'''617.9''',ENDOMETRIOSIS#617.9
'''618.0''',RECTOCELE#618.0
'''618.1''',UTERINE PROLAPSE#618.1
'''618.3''',COMPLETE UTERO-VAGINAL PROLAPSE#618.3
'''620.2''',RIGHT OVARIAN CYSTS in torsion#620.2
'''621.0''',ENDOMETRIAL POLYP#621.0
'''622.1''',CERVICAL DYSPLASIA#622.1
'''623.8''',VAGINA CYSTS#623.8
'''625.6''',STRESS URINARY INCONTINENCE IN WOMEN#625.6
'''626.1''',OLIGOMENORRHEA#626.1
'''626.4''',IRREGULAR MENSTRUAL CYCLE#626.4
'''626.5''',INTERMESTRUAL SPOTTING#626.5
'''626.6''',METRORRHAGIA in fibrous uterus#626.6
'''627.9''',EARLY MENOPAUSE#627.9
'''629.9''',HABITUAL ABORTION WITHOUT CURRENT PREGNANCY#629.9
'''633.1''',TUBARIC PREGNANCY#633.1
'''634.9''',Miscarriage#634.9
'''634.92''',SPONTANEOUS ABORTION WITHOUT REFERRED COMPLICATION COMPLETE#634.92
'''635.9''',VOLUNTARY INTERRUPTION OF PREGNANCY [IVG]#635.9
'''637.9''',ABORTION#637.9
'''640.0''',THREAT OF ABORTION#640.0
'''642.0''',ESSENTIAL HYPERTENSION IN PREGNANCY PUERPERIAL DELIVERY#642.0
'''682.9''',Left gluteal reg abscess#682.9
'''685.0''',PILONIDAL CYSTS WITH ABSCESS#685.0
'''690.1''',SEBORRHOEIC DERMATITIS#690.1
'''691.8''',ATOPIC DERMATITIS#691.8
'''692.72''',POLYMORPHOUS SOLAR PHOTODERMATITIS#692.72
'''692.9''',ECZEMA on the face with folliculitis#692.9
'''694.4''',PENFIGO#694.4
'''695.2''',ERYTHEMA NODOSO#695.2
'''695.3''',Relapsing ROSACEA#695.3
'''695.9''',ERYTHEMA of the back#695.9
'''696.0''',PSORIASIC ARTHROPATHY#696.0
'''696.1''',PSORIASIS#696.1
'''696.3''',PITIRIASIS ROSEA#696.3
'''697.0''',LICHEN RUBER PLANUS#697.0
'''697.9''',LICHEN#697.9
'''698.9''',ITCH of ndd#698.9
'''701.0''',LICHEN SCLERO-ATROPHIC preputial#701.0
'''703.0''',INGROWN TOE LEFT TOE#703.0
'''704.0''',ALOPECIA areata#704.0
'''704.01''',ALOPECIA AREATA#704.01
'''704.02''',TELOGEN EFFLUVIUM#704.02
'''704.1''',HIRSUTISM#704.1
'''706.0''',NODULOCISTIC ACNE#706.0
'''706.1''',ACNE rosacea#706.1
'''706.2''',SEBACEOUS CYST#706.2
'''707.1''',VENOUS INSUFFICIENCY ULCER right leg#707.1
'''707.9''',TROPHIC ULCER left leg#707.9
'''708.1''',IDIOPATHIC HURTICARIA#708.1
'''708.8''',CHRONIC HURTICARIA#708.8
'''708.9''',URTICARIA#708.9
'''709.01''',VITILIGO#709.01
'''710.0''',SYSTEMIC LUPUS ERYTHEMATOUS#710.0
'''710.2''',SJOGREN'S SYNDROME#710.2
'''710.8''',CONNECTIVE DISEASE others#710.8
'''710.9''',CONNECTIVE DISEASE#710.9
'''714.0''',RHEUMATOID ARTHRITIS#714.0
'''715.0''',GENERALIZED ARTHROSIS#715.0
'''715.00''',GENERALIZED ARTHROSIS#715.00
'''715.1''',COXOPHEMORAL ARTHROSIS <COXARTHROSIS>#715.1
'''715.31''',SHOULDER ARTHROSIS#715.31
'''715.35''',HIP ARTHROSIS#715.35
'''715.36''',KNEE ARTHROSIS#715.36
'''715.89''',POLYARTHROSIS#715.89
'''715.94''',RHIZARTHROSIS RIGHT#715.94
'''715.95''',LEFT COXARTHROSIS#715.95
'''715.96''',BILATERAL GONARTHROSIS#715.96
'''716.5''',POLYARTHROPATHY - POLYARTHRITIS -#716.5
'''716.6''',MONOARTHRITIS left knee of ndd#716.6
'''716.60''',MONOARTHRITIS of the elbow (gouty???)#716.60
'''716.9''',Psoriatic ARTHRITIS#716.9
'''717.1''',ANTERIOR HORN INTERNAL MENISCUS INJURY#717.1
'''717.3''',INTERNAL MENISCUS INJURY#717.3
'''717.4''',EXTERNAL MENISCUS INJURY in the left knee (arthroscopy surgery)#717.4
'''717.83''',INVERTED ANTERIOR CRUCATE LIGAMENT INJURY#717.83
'''717.9''',LEFT KNEE MENISCUS INJURY#717.9
'''718.0''',MENISCOPATHY right knee#718.0
'''718.56''',KNEE ANKYLOSIS#718.56
'''719.45''',LEFT COXALGIA#719.45
'''719.48''',RIGHT GONALGIA#719.48
'''720.9''',SPONDYLITIS with specific spondylodiscitis#720.9
'''721.1''',CERVICAL SPONDYLOSIS WITH MYELOPATHY#721.1
'''721.3''',LUMBOSACRAL SPONDYLOARTHROSIS#721.3
'''721.4''',LUMBAR SPONDYLOSIS WITH MYELOPATHY#721.4
'''721.90''',SPONDYLOARTHROSIS#721.90
'''722.0''',RADICULAR COMPRESSION FROM CERVICAL DISC HERNIATION#722.0
'''722.10''',LEFT LUMBOSCIATALGIA#722.10
'''722.2''',HERNIATED DISC#722.2
'''722.7''',INTERVERTEBRAL DISC DISORDERS WITH MYELOPATHY#722.7
'''722.71''',CERVICAL DYSCOPATHY WITH MYELOPATHY#722.71
'''722.73''',LUMBAR DYSCOPATHY WITH MYELOPATHY#722.73
'''723.0''',CERVICAL SPINAL CANAL STENOSIS with SPONDYLOGICAL MYELOPATHY#723.0
'''723.1''',CERVICAL SPINE SPRAIN#723.1
'''723.3''',DIFFUSED CERVICOBRACHIAL SYNDROME#723.3
'''723.4''',CERVICOBRACHIALGIA#723.4
'''723.5''',STIFF NECK#723.5
'''723.9''',LEFT CERVICOBRACHIALGIA#723.9
'''724.02''',LUMBAR SPINAL CANAL STENOSIS#724.02
'''724.2''',LOW BACK PAIN#724.2
'''724.3''',RIGHT SCIATALGIA#724.3
'''724.4''',LUMBOSCIATALGIA#724.4
'''724.5''',DORSALGIA#724.5
'''724.79''',COCCYDYNY#724.79
'''725''',POLYMYALGIA RHEUMATICA#725
'''726.1''',ROTATOR CUFF SYNDROME#726.1
'''726.10''',ROTATOR CUFF SYNDROME#726.10
'''726.11''',CALCIFIC SHOULDER TENDINITIS#726.11
'''726.2''',SCAPOLHOMERAL PERIARTHRITIS#726.2
'''726.4''',WRIST CARPUS ENTHESOPATHY#726.4
'''726.5''',ENTHESOPATHY OF THE HIP REGION right coxalgia#726.5
'''726.6''',KNEE ENTHESOPATHY in progress. distortion trauma#726.6
'''726.7''',ANKLE ENTHESOPATHY TARSO arthralgia I metatarso phalangeal#726.7
'''726.73''',LEFT CALCANEAL SPUR#726.73
'''727.51''',BAKER CYST RIGHT KNEE#727.51
'''727.61''',COMPLETE ATRAUMATIC RUPTURE OF THE ROTATOR CUFF#727.61
'''727.62''',ATRAUMATIC BICEPS LONG HEAD TENDON RUPTURE#727.62
'''727.67''',ATRAUMATIC DACHILLE TENDON RUPTURE#727.67
'''728.6''',DUPUYTREN'S DISEASE#728.6
'''728.84''',DIASTASIS RECTI ABDOMEN#728.84
'''729.0''',FIBROMYALGIA#729.0
'''730.1''',CHRONIC OSTEOMYELITIS II phalanx 2?Ǭ? left hand finger#730.1
'''730.7''',POLIOMYELITIS RESULTS#730.7
'''731.0''',Paget bone disease#731.0
'''732.4''',JUVENILE OSTEOCONDROSITY OSGOOD-SCHLATTER TIBIAL TUBEROSITY#732.4
'''733.0''',OSTEOPOROSIS#733.0
'''733.00''',OSTEOPENIA#733.00
'''733.1''',SPONTANEOUS vertebral FRACTURES#733.1
'''733.13''',VERTEBRAL COLLAPSE#733.13
'''733.4''',ASEPTIC BONES NECROSIS Right femur head#733.4
'''733.42''',ASEPTIC NECROSIS OF THE FEMUR HEAD AND NECK#733.42
'''735.0''',HALLUX VALGUS#735.0
'''736.42''',Bilat. arthritic varus knee.#736.42
'''737.1''',ACQUIRED KYPHOSIS#737.1
'''737.3''',SCOLIOSIS with anterolisthesis of L5 on S1#737.3
'''742.0''',CEREBRAL MENINGOCELE#742.0
'''745.1''',TRANSPOSITION OF LARGE VASES#745.1
'''745.5''',PERVIET?ɂǨ OR PERSISTENCE FORAMEN OVALE#745.5
'''746.6''',CONGENITAL MITRAL INSUFFICIENCY#746.6
'''746.84''',OBSTRUCTIVE HEART ANOMALIES#746.84
'''750.6''',CONGENITAL ESOPHAGEAL HIATUS HERNIA#750.6
'''751.3''',CONGENITAL MEGACOLON#751.3
'''753.0''',HORSESHOE KIDNEY#753.0
'''753.3''',HORSESHOE KIDNEY#753.3
'''754.3''',CONGENITAL HIP DISLOCATION#754.3
'''754.69''',FOOT TALUS FLAT VALGUS#754.69
'''756.12''',SPONDYLOLISTHESIS L4 on L5#756.12
'''756.51''',IMPERFECT OSTEOGENESIS#756.51
'''758.6''',GONADAL DYSGENESIA#758.6
'''758.7''',KLINEFELTER SYNDROME#758.7
'''758.89''',OTHER MULTIPLE CONGENITAL ANOMALIES WITH MENTAL RETARDATION#758.89
'''759.89''',CONGENITAL MALFORMATION SYNDROMES#759.89
'''761.8''',SPONTANEOUS ABORTION ABORTED FEtus#761.8
'''767.0''',LOCALIZED SUBDURAL HEMATOMA#767.0
'''780.2''',LIPOTHYMIA#780.2
'''780.4''',DIZZINESS#780.4
'''780.57''',SLEEP APNEA#780.57
'''780.59''',SNORING#780.59
'''780.6''',FEVER#780.6
'''781.0''',TREMOR#781.0
'''781.2''',GAIT DISORDERS#781.2
'''782.0''',CHRONIC SKIN ITCHING SINE MATERIA#782.0
'''782.1''',SKIN RASHES#782.1
'''784.0''',HEADACHE#784.0
'''784.3''',Motor aphasia during migraine (aura)#784.3
'''785.4''',GANGRENE#785.4
'''785.6''',Right retroauricular LYMPHADENOPATHY#785.6
'''786.0''',DYSPNEA due to exertion#786.0
'''786.09''',SLEEP APNEA#786.09
'''786.2''',COUGH in case of flu#786.2
'''786.50''',THORACOALGIA by ndd#786.50
'''787.0''',VOMITING with emission of blood streaks#787.0
'''787.03''',VOMIT#787.03
'''787.2''',DYSPHAGIA#787.2
'''787.6''',FECAL INCONTINENCE#787.6
'''787.91''',DIARRHEA NDD#787.91
'''788.0''',RIGHT RENAL COLIC#788.0
'''788.1''',DYSURIA#788.1
'''788.2''',ACUTE URINARY RETENTION#788.2
'''788.3''',URINARY INCONTINENCE#788.3
'''789.0''',ABDOMINAL PAIN#789.0
'''789.06''',EPIGASTRALGIA#789.06
'''789.09''',ABDOMINAL PELVIC PAIN#789.09
'''789.5''',ASCITES#789.5
'''790.2''',IFG ALTERED FASTING GLUCOSE#790.2
'''790.4''',TRANSAMINASE INCREASE#790.4
'''791.5''',GLYCOSURIA FROM RENAL DIABETES#791.5
'''792.1''',POSITIVE STOOL OCCULT BLOOD#792.1
'''797''',SENILE DEBILITY#797
'''799.9''',Impaired fasting blood sugar#799.9
'''802.0''',FRACTURE OF NASAL BONES#802.0
'''802.8''',FRACTURE OF THE RIGHT ORBIT#802.8
'''803.0''',HEAD TRAUMA#803.0
'''805.02''',FRACTURE SECOND CERVICAL VERTEBRA#805.02
'''805.06''',FRACTURE SIXTH CERVICAL VERTEBRA spinous process#805.06
'''805.2''',FRACTURE OF THE DORSAL VERTEBRAE somatic D7#805.2
'''805.4''',FRACTURE OF THE LUMBAR VERTEBRAE#805.4
'''805.6''',SACRUM AND COCCYX FRACTURE#805.6
'''805.8''',SPINAL COLUMN FRACTURE Spinous process D6-D7-D8#805.8
'''807.0''',FRACTURE OF RIBS#807.0
'''807.01''',FRACTURE A RIB#807.01
'''807.09''',MULTIPLE RIB FRACTURE#807.09
'''807.2''',FRACTURE STERNUM#807.2
'''808.0''',ACETABULUS FRACTURE#808.0
'''808.42''',ISCHIO FRACTURE#808.42
'''808.8''',PELVIS FRACTURE#808.8
'''810.0''',LEFT CLAVICLE FRACTURE#810.0
'''810.00''',RIGHT CLAVICLE FRACTURE#810.00
'''811.0''',FRACTURE OF THE LEFT SCAPULA#811.0
'''812.0''',PROXIMAL END FRACTURE OF THE HUMERO#812.0
'''812.2''',CLOSED DIAPHYSIS HUMERUS FRACTURE#812.2
'''812.20''',RIGHT HUMERUS FRACTURE composed of the head#812.20
'''812.4''',LEFT ELBOW FRACTURE#812.4
'''813.4''',RADIO ULNA FRACTURE CLOSED DISTAL EPIPHISIS#813.4
'''813.41''',COLLES FRACTURE left wrist#813.41
'''813.42''',RADIO FRACTURE DISTAL EPIPHISIS#813.42
'''813.8''',RIGHT MAXILLARY FRACTURE#813.8
'''813.80''',FRACTURE OF THE LEFT FOREARM#813.80
'''813.81''',RADIO FRACTURE OF LEFT STYLOID#813.81
'''813.82''',FRACTURE OF THE RIGHT ULNA#813.82
'''814.00''',FRACTURE OF THE LEFT WRIST#814.00
'''814.01''',NAVICULAR SCAPHID WRIST FRACTURE#814.01
'''815.0''',METACARPUS FRACTURE#815.0
'''816.0''',FRACTURED FINGERS OF THE HAND#816.0
'''816.02''',FRACTURE OF ONE OR MORE DISTAL PHLANGES of the right hand#816.02
'''820.03''',FRACTURE OF THE BASE OF THE RIGHT FEMUR NECK#820.03
'''820.09''',FEMUR HEAD FRACTURE#820.09
'''820.2''',PERTROCHANTERIC FRACTURE OF THE FEMUR#820.2
'''820.8''',CLOSED FEMUR NECK FRACTURE#820.8
'''821.00''',FRACTURE OF THE LEFT FEMUR#821.00
'''821.01''',FEMUR DIAPHYSIS FRACTURE#821.01
'''822.0''',FRACTURE OF THE LEFT PATELLA#822.0
'''823.0''',TIBIA CONDYLE FRACTURE#823.0
'''823.00''',TIBIA FRACTURE PROXIMAL EPIPHISIS external tibial plateau on the left#823.00
'''823.2''',FRACTURE TIBIA FIBULAR CLOSED DIAPHYSIS#823.2
'''823.22''',TIBIA AND FIBULAR DIAPHYSIS FRACTURE#823.22
'''823.80''',TIBIA FRACTURE#823.80
'''823.81''',FIBULAR FRACTURE#823.81
'''824.0''',FRACTURE OF THE LEFT INTERNAL MALLEOLUS#824.0
'''824.2''',ANKLE FRACTURE EXTERNAL MALLEOLUS CLOSED#824.2
'''824.8''',RIGHT ANKLE FRACTURE#824.8
'''825.0''',HEEL FRACTURE#825.0
'''825.1''',EXPOSED HEEL FRACTURE#825.1
'''825.2''',FRACTURE OTHER BONES TARSO METATARSAL CLOSED Base of V metatarsal#825.2
'''825.20''',FRACTURE OF FOOT BONE EXCEPT TOES#825.20
'''825.22''',NAVICULAR SCAPHOID FRACTURE#825.22
'''825.25''',FRACTURE OF METATARSAL BONES#825.25
'''826.0''',FRACTURE OF TOES#826.0
'''831.00''',Recurrent LEFT SHOULDER DISLOCATION#831.00
'''840.4''',ROTATOR CUFF DISTRACTION#840.4
'''840.9''',SHOULDER DISTRACTION#840.9
'''842.0''',WRIST SPRAIN#842.0
'''844.9''',KNEE LEG SPRAIN#844.9
'''845.0''',RIGHT ANKLE SPRAIN#845.0
'''845.00''',Ankle sprain and distraction#845.00
'''845.1''',FOOT SPRAIN#845.1
'''847.0''',NECK DISTRACTION#847.0
'''848.9''',DISTORTION I finger of the left hand#848.9
'''850.9''',HEAD TRAUMA#850.9
'''860.2''',TRAUMATIC HEMOTHORAX#860.2
'''860.4''',PNEUMOEMOTHORAX WITHOUT OPEN WOUND IN THE CHEST#860.4
'''865.0''',SPLEEN INJURY splenectomy#865.0
'''865.01''',INJURY SPLEEN HEMATOMA WITHOUT RUPTURED CAPSULE#865.01
'''865.03''',Spleen trauma laceration extending to the parenchyma#865.03
'''882.0''',HAND WOUND from left hand penetrating tip#882.0
'''882.2''',HAND WOUND WITH TENDON INVOLVEMENT#882.2
'''883.0''',WOUND FINGERS HAND#883.0
'''883.1''',WOUND FINGERS HAND WITH COMPLICATIONS#883.1
'''883.2''',FINGER HAND WOUND WITH TENDON INVOLVEMENT#883.2
'''886.0''',TRAUMATIC AMPUTATION OTHER FINGERS OF THE HAND IV-V finger of the right hand#886.0
'''886.1''',TRAUMATIC AMPUTATION OF OTHER FINGERS OF THE HAND WITH COMPLICATIONS#886.1
'''891.0''',LEG WOUND#891.0
'''897.2''',TRAUMATIC AMPUTATION OF THE LEG AT THE KNEE OR ABOVE THE LEFT#897.2
'''905.1''',AFTERMATH OF SPINAL COLUMN AND TRUNK FRACTURES WITHOUT SPINAL CORD INJURIES#905.1
'''912.9''',SUPERFICIAL INJURY OF THE SHOULDER AND ARM#912.9
'''913.8''',OTHER SUPERFICIAL INJURY ELBOW FOREARM AND WRIST#913.8
'''915.9''',SUPERFICIAL TRAUMATIC OF FINGERS OF HAND#915.9
'''919.4''',INSECT BINGS#919.4
'''921.9''',EYE INJURY#921.9
'''922.9''',BRUSHED TRAUMA coccyx#922.9
'''927.3''',CRUSHING OF FINGERS AND HAND#927.3
'''944.0''',WRIST AND HAND BURNS#944.0
'''944.00''',BURN HAND#944.00
'''949.5''',3?��� DEEP DEGREE BURN WITH PART LOSS#949.5
'''952.2''',LUMBAR INJURY#952.2
'''953.8''',MULTIPLE SITE TRAUMA#953.8
'''959.7''',TRAUMA OF THE RIGHT ANKLE#959.7
'''959.9''',FALL TRAUMA#959.9
'''980.0''',Toxic effects of ethyl alcohol#980.0
'''991.5''',GELONI#991.5
'''995.3''',FOOD ALLERGY probably to fish#995.3
'''996.66''',INFECTION AND INFLATION FROM INTERNAL JOINT PROSTHESES septic mobilization APT gin#996.66
'''996.77''',OTHER COMPLICATIONS FROM INTERNAL JOINT PROSTHESES#996.77
'''V08''',HIV POSITIVE#V08
'''V14.6''',ALLERGY ANALGESICS angioedema of the lip after OKI gtt#V14.6
'''V14.7''',SERUM OR VACCINE ALLERGY suspected#V14.7
'''V14.9''',ALLERGY TO MEDICINAL SUBSTANCE#V14.9
'''V22.0''',SUSPEC: NORMAL FIRST PARENT PREGNANCY#V22.0
'''V22.1''',NORMAL PREGNANCY#V22.1
'''V22.2''',PREGNANCY#V22.2
'''V23.9''',PREGNANCY AT RISK#V23.9
'''V25.41''',ESTROPROGESTIN THERAPY#V25.41
'''V26.2''',PRECONCEPTIONAL TESTS#V26.2
'''V42.0''',KIDNEY TRANSPLANT#V42.0
'''V42.2''',HOMOLOGOUS MITRAL PROSTHESIS#V42.2
'''V42.7''',Liver replaced by transplant#V42.7
'''V43.3''',MECHANICAL HEART VALVE PROSTHESIS#V43.3
'''V43.6''',KNEE PROSTHESIS#V43.6
'''V43.60''',REVERSE LEFT SHOULDER PROSTHESIS#V43.60
'''V43.64''',HIP PROSTHESIS#V43.64
'''V43.65''',LEFT KNEE PROSTHESIS#V43.65
'''V44.0''',PRESENCE TRACHEOSTOMY#V44.0
'''V44.1''',PRESENCE GASTROSTOMY#V44.1
'''V44.3''',PRESENCE COLOSTOMY#V44.3
'''V44.6''',Transient URETEROSTOMY with stent for ureter kinking#V44.6
'''V45.01''',PEACE MAKER BEARER#V45.01
'''V45.81''',AORTOCORONARY BYPASS#V45.81
'''V45.82''',CORONARY ANGIOPLASTY#V45.82
'''V45.89''',LOWER LIMBS ANGIOPLASTY#V45.89
'''V50.4''',PROPHYLACTIC ORGAN REMOVAL NEPHRECTOMY RIGHT#V50.4
'''V53.6''',PLACEMENT AND SETTING OF URINARY CATHERS#V53.6
'''V56.0''',KIDNEY DIALYSIS#V56.0
'''V60.3''',PERSON WHO LIVES ALONE#V60.3
'''V60.4''',LACK OF A FAMILY ABLE TO PROVIDE CARE#V60.4
'''V60.6''',PERSON WHO LIVES IN INSTITUTIONS#V60.6
'''V72.2''',ORTHODONTIC TREATMENTS#V72.2
'362.01''',DIABETIC RETINOPATHY#362.01
'04.43',RELEASE OF THE CARPAL TUNNEL#04.43
'06.11.2',ECU GUIDED THYROID NEEDLE BIOPSY#06.11.2
'10.31',CONJUNCTIVAL LESION REMOVAL#10.31
'101.01.',BAG WITH PLATE FOR COLO-ILEOSTOMY#101.01.
'101.14.',PERMANENT BLADDER CATHETER (FOLEY)#101.14.
'101.21.',SHAPED DIAPER#101.21.
'101.31.',MATTRESS PROTECTION CROSSBAR#101.31.
'13.71',CATARACT SURGERY with lens implant#13.71
'22.51.0',RIGID FRAME WHEELCHAIR MANEUVERABLE BY THE COMPANION#22.51.0
'26.11',NEEDLE BIOPSY OF GLAND OR SALIVARY DUCT#26.11
'27.49.1',REMOVAL OF MOUTH LESION#27.49.1
'31.42',FIBER OPTIC RHINOSCOPY#31.42
'44.19.2',BREATH TEST FOR HELYCOBACTER PYLORI#44.19.2
'45.13',DUODENOSCOPY#45.13
'45.23',COLONOSCOPY#45.23
'45.25.1',COLONOSCOPY + sedated BIOPSY. conscious#45.25.1
'45.29.2',BREATH TEST FOR COLONIZATIONS BACTERIAL AN.#45.29.2
'45.29.3',LACTOSE BREATH TEST#45.29.3
'48.23',RECTOSCOPY <PROCTOSIGMOIDOSCOPY>#48.23
'501.01.',CONTAINMENT BANKS#501.01.
'501.11.',ANTI-DECUBITUS AIR MATTRESS#501.11.
'57.32',CYSTOSCOPY#57.32
'57.39.2',INVASIVE URODYNAMIC EXAM#57.39.2
'58.62',PROGRESSIVE URETHRAL DILATIONS#58.62
'60.11.1',ECU GUIDED NEEDLE BIOPSY OF THE PROSTATE#60.11.1
'68.12.1',HYSTEROSCOPY#68.12.1
'68.2',REMOVAL OF UTERUS LESION#68.2
'69.7',IUD INSERTION <SPIRAL>#69.7
'70.21',COLPOSCOPY#70.21
'75.34.1',CARDIOTOCOGRAPHY#75.34.1
'85.11.1',ECU GUIDED BREAST NEEDLE BIOPSY#85.11.1
'85.21',LOCAL BREAST LESION REMOVAL#85.21
'86.30.3',CAUTERIZATION <DIATHERMOCOACULATION>#86.30.3
'86.4',REMOVAL OF SKIN LESION#86.4
'87.03',SKULL CT <BENCEPHALON>#87.03
'87.03.1',SKULL CT WITHOUT+CONTRAST <BENCE>#87.03.1
'87.03.2',MASSIVE FACIAL CT#87.03.2
'87.03.8',NECK CT WITHOUT+CONTRAST#87.03.8
'87.11.3',X-ray of the dental arches <ORTHOPANORAMIC>#87.11.3
'87.22',CERVICAL SPINE X-ray#87.22
'87.23',DORSAL SPINE X-ray#87.23
'87.24',LUMBOSACRAL SPINE X-ray#87.24
'87.29',TELESPINOGRAM#87.29
'87.35',GALACTOGRAPHY#87.35
'87.37.1',BILATERAL MAMMOGRAPHY#87.37.1
'87.37.2',RIGHT MAMMOGRAPHY#87.37.2
'87.41',CHEST CT scan#87.41
'87.41.1',CHEST CT + CONTRAST#87.41.1
'87.43.2',SN HEMITORACE RX FOR RIBS#87.43.2
'87.44.1',CHEST X-ray#87.44.1
'87.72',RENAL TOMOGRAPHY <STRATS>#87.72
'87.83',HYSTEROSALPINGOGRAPHY#87.83
'88.01.6',COMPLETE ABDOMEN CT + CONTRAST#88.01.6
'88.19',ABDOMEN RX <DIRECT ABDOMEN>#88.19
'88.21',LEFT SHOULDER#88.21
'88.22',RX FOREARM RX#88.22
'88.23',LEFT WRIST#88.23
'88.26',RX HIP RX#88.26
'88.27',RX KNEE RX#88.27
'88.28',LEFT FOOT X-ray#88.28
'88.29.2',AXIAL RX RIGHT PATELLA#88.29.2
'88.38.1',CT scan of the LUMBOSACLAR SPINE#88.38.1
'88.38.3',CT SHOULDER AND RIGHT ARM#88.38.3
'88.38.5',PELVIS CT ​​scan#88.38.5
'88.38.8',CT KNEE LEFT <ARTHROTAC>#88.38.8
'88.71.4',THYROID ECHO <HEAD AND NECK ECHO>#88.71.4
'88.72.1',CARDIAC ECHO <ECOCARDIOGRAPHY>#88.72.1
'88.72.4',ECHODOPLER CARDIAC TRANSES.<ECOCOLOR>#88.72.4
'88.73.1',ECO UMMS#88.73.1
'88.73.2',ECHO LEFT BREAST#88.73.2
'88.73.5',ECODOPPLER SUPRAORTIC TRUNKS<ECOCOLOR>#88.73.5
'88.74.1',ECHO KIDNEYS AND ADRENALS#88.74.1
'88.75.1',ECHO LOWER ABDOMEN#88.75.1
'88.75.2',ECODOPPLER SPERM VESSELS (ECOCOLOR)#88.75.2
'88.76.1',FULL ABDOMEN ECHO#88.76.1
'88.76.2',ECHO LARGE ABDOMINAL VESSELS#88.76.2
'88.77.2',ECOCOLORDOPPLER LOWER LIMBS. ART.#88.77.2
'88.78',OBSTETRICAL ULTRASOUND <FETOPLACENTARY ULTRASOUND>#88.78
'88.78.2',GYNECOLOGICAL ECHO#88.78.2
'88.79.1',ECO SURFACE FABRICS#88.79.1
'88.79.2',RIGHT SHOULDER ECHO#88.79.2
'88.79.3',MUSCLETENDION ECHO#88.79.3
'88.79.5',ECO PENIS#88.79.5
'88.79.6',ECHO TESTICLES#88.79.6
'88.79.7',TRANSVAGINAL ECHO#88.79.7
'88.79.8',TRANSRECTAL PROSTATE ECHO#88.79.8
'88.91.1',MRI of the brain and brainstem#88.91.1
'88.91.2',MRI of the brain and brainstem. WITHOUT+CONTROL.#88.91.2
'88.92.4',MRI HEART +CONTRAST#88.92.4
